,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,4.218847493575586e-15,-0.029060091428500787,-0.05366185446911434,-0.07680457284533639,-0.09910062060358078,-0.1208342173005756,-0.14216987871005182,-0.16321490093511257,-0.1840448456380905,-0.20471589842263216,-0.22527158504269243,-0.24574673177643744,-0.2661699494082973,-0.28656526858563136,-0.3069532595108415,-0.3273518238377092,-0.34777677026109777,-0.36824224280203394,-0.3887610460414405,-0.4093448965639042,-0.43000462048002724,-0.450750310835662,-0.4715914547041551,-0.49253703703990837,-0.5135956264926652,-0.5347754470588278,-0.5560844384988616,-0.577530307761329,-0.5991205731466797,-0.6208626025652335,-0.6427636469577452,-0.6648308697285894,-0.6870713728731114,-0.7094922203494852,-0.7321004591421443,-0.7549031383819832,-0.7779073268228854,-0.8011201289210305,-0.824548699720116,-0.8482002587098212,-0.872082102794895,-0.8962016184869424,-0.920566293409123,-0.9451837271848975,-0.9700616417648146,-0.9952078912296844,-1.0206304710937657,-1.0463375271174375,-1.0723373636247366,-1.0986384513068865,-1.1252494344781154,-1.152179137734154,-1.1794365719468305,-1.2070309395092056,-1.2349716387248206,-1.2632682672110334,-1.291930624159673,-1.3209687112678328,-1.350392732116696,-1.380213089736187,-1.4104403820470255,-1.4410853948183429,-1.4721590917172522,-1.503672600955175,-1.5356371979528198,-1.568064283349451,-1.6009653555704555,-1.634351977037794,-1.668235732957529,-1.7026281814446433,-1.7375407935433134,-1.7729848814674405,-1.8089715131160757,-1.8455114106069124,-1.882614830212507,-1.9202914206722514,-1.9585500563825031,-1.9973986414315925,-2.036843879840103,-2.0768910066857424,-2.1175434740338757,-2.1588025847613577,-2.200667066458993,-2.243132576642741,-2.2861911295224937,-2.3298304336149025,-2.3740331286107907,-2.418775909219574,-2.4640285233558243,-2.5097526322070944,-2.555900520699775,-2.6024136490214054,-2.6492210396314255,-2.6962375001831402,-2.7433616916980124,-2.790474063996801,-2.8374346976824474,-2.884081114733299,-2.9302261486431607,-2.975656000204153,-3.020128645772197
1,-0.03268851071233922,-0.08124436593714837,-0.10949787346351118,-0.13478595174729952,-0.15877375800414895,-0.181975842298732,-0.20463092948916803,-0.22688163521458363,-0.24882536575022424,-0.27053374823683507,-0.29206196298070597,-0.31345395552686073,-0.33474564005473983,-0.35596699733151405,-0.37714351223517123,-0.39829719319138673,-0.4194473152878585,-0.44061097450069053,-0.46180350920785473,-0.4830388262848805,-0.5043296572267753,-0.5256877620619894,-0.5471240937152447,-0.5686489319975305,-0.590271993985123,-0.6120025258404906,-0.6338493798997307,-0.6558210799556655,-0.6779258770038892,-0.7001717972240866,-0.7225666835944166,-0.745118232250452,-0.7678340244790568,-0.7907215550652249,-0.813788257574319,-0.8370415270444813,-0.8604887404778546,-0.8841372754494901,-0.9079945270960383,-0.9320679236993759,-0.9563649410412647,-0.9808931156720315,-1.0056600572079886,-1.0306734597475562,-1.055941112474041,-1.0814709094931256,-1.1072708589344045,-1.1333490913286297,-1.159713867254868,-1.186373584234284,-1.213336782829226,-1.2406121518873534,-1.2682085328502204,-1.2961349230235564,-1.3244004776820932,-1.3530145108545077,-1.3819864946034581,-1.4113260565809187,-1.4410429755996763,-1.4711471749166607,-1.5016487128722869,-1.5325577704706417,-1.5638846354172766,-1.5956396820529113,-1.6278333465311483,-1.6604760964840029,-1.6935783942994354,-1.7271506529966822,-1.761203183526288,-1.7957461321388313,-1.8307894062561594,-1.8663425870381372,-1.902414826562205,-1.9390147272185858,-1.976150200566531,-2.0138283024922092,-2.05205504105358,-2.0908351528881837,-2.1301718434958636,-2.170066486090284,-2.2105182730459756,-2.2515238132615534,-2.2930766680329344,-2.335166817311643,-2.377780047556663,-2.420897251838629,-2.46449363251311,-2.508537796772751,-2.5529907358861665,-2.597804680162593,-2.6429218239370593,-2.6882729185211796,-2.7337757365600592,-2.779333419106621,-2.8248327275604,-2.870142237028482,-2.915110526194321,-2.9595644417769247,-3.003307543081043,-3.046118863262968,-3.087752157038491
2,-0.05923738837276702,-0.11590461148073426,-0.14698249824284215,-0.17345315343857426,-0.19785816793216593,-0.22116276837901155,-0.24380798436605927,-0.2660198021161241,-0.2879272291673476,-0.30961207712442124,-0.3311312494173462,-0.3525273325371423,-0.37383398088102276,-0.39507886220904237,-0.416285391235132,-0.43747382197808615,-0.4586619784051404,-0.4798657681381655,-0.5010995585520824,-0.5223764611928231,-0.5437085525128564,-0.5651070488114548,-0.5865824472901605,-0.6081446414426711,-0.6298030166262428,-0.6515665300822319,-0.6734437785886125,-0.6954430561619049,-0.7175724036731574,-0.7398396518353345,-0.7622524587140193,-0.7848183426808212,-0.8075447115494065,-0.830438888493883,-0.8535081352384388,-0.8767596729187431,-0.9002007009441876,-0.9238384141318993,-0.9476800183355067,-0.9717327447516644,-0.9960038630536583,-1.0205006934725274,-1.0452306179210187,-1.0702010902335166,-1.0954196455749536,-1.1208939090532095,-1.1466316035518864,-1.1726405567834346,-1.1989287075455939,-1.2255041111469904,-1.2523749439498548,-1.2795495069588145,-1.307036228364444,-1.334843664927837,-1.3629805020679582,-1.3914555524860117,-1.4202777531302884,-1.4494561602701252,-1.4789999424081823,-1.508918370715244,-1.5392208066206192,-1.5699166861325555,-1.6010155003961106,-1.6325267719192238,-1.6644600258097058,-1.6968247552651834,-1.729630380442613,-1.7628861997018708,-1.7966013320667753,-1.8307846495744302,-1.8654446979869415,-1.9005896041158612,-1.936226967755876,-1.9723637359374009,-2.0090060568851955,-2.04615911070891,-2.0838269134506744,-2.1220120906729023,-2.1607156162888703,-2.199936511822451,-2.239671500740719,-2.2799146119472367,-2.3206567259771136,-2.361885056929532,-2.4035825627564553,-2.4457272762637317,-2.488291549162165,-2.531241201852675,-2.5745345724996653,-2.618121460543413,-2.6619419623820586,-2.705925200827169,-2.749987955472639,-2.7940332087274458,-2.8379486323848453,-2.881605052646158,-2.924854947797625,-2.9675310523490785,-3.009445164095342,-3.05038727537572,-3.090125175057353
3,-0.08363322750692205,-0.14599939961974098,-0.17964880063014965,-0.20774407633271608,-0.23309574554782142,-0.2568847925267649,-0.2797218254590376,-0.3019524795662919,-0.32378331487894607,-0.3453433981143457,-0.3667170848222274,-0.3879622208554242,-0.40912049588320226,-0.4302234477630189,-0.45129601646610484,-0.47235869780040685,-0.4934288843621773,-0.5145217258191629,-0.535650698731602,-0.5568279965816716,-0.5780648055958998,-0.5993715060276014,-0.6207578234242108,-0.6422329453972948,-0.663805613951047,-0.6854842000451812,-0.7072767649325955,-0.7291911114336456,-0.7512348273997324,-0.7734153230061684,-0.7957398630924254,-0.8182155954712566,-0.8408495759152951,-0.8636487903738503,-0.8866201748562729,-0.9097706333298475,-0.9331070539115797,-0.9566363235793345,-0.9803653415843615,-1.0043010317118952,-1.0284503535069447,-1.052820312557355,-1.0774179699044155,-1.1022504506319732,-1.1273249516672843,-1.1526487488104813,-1.1782292029936277,-1.2040737657548366,-1.230189983897231,-1.2565855032863622,-1.2832680717227465,-1.3102455408079337,-1.3375258667029304,-1.3651171096560346,-1.393027432153302,-1.4212650955180346,-1.4498384547557022,-1.478755951406822,-1.5080261041320417,-1.5376574967101522,-1.5676587630803551,-1.5980385690038812,-1.6288055898559237,-1.6599684839858504,-1.6915358610003683,-1.7235162442294345,-1.7559180265267684,-1.7887494184337362,-1.822018387595889,-1.8557325881630695,-1.8898992787246642,-1.9245252271297237,-1.9596166003142115,-1.9951788370034145,-2.03121650087459,-2.067733111451912,-2.1047309496629696,-2.142210834614277,-2.1801718677461226,-2.218611140110308,-2.2575233980885328,-2.2969006624498705,-2.336731795256331,-2.377002008798545,-2.4176923105256503,-2.4587788778858504,-2.5002323572008858,-2.5420170812657923,-2.584090201434322,-2.626400731693408,-2.6688885048591517,-2.7114830447932388,-2.7541023637293436,-2.796651700723428,-2.8390222262079043,-2.8810897489027387,-2.9227134750719195,-2.9637348862639916,-3.0039768198621832,-3.04324285612927,-3.081317134442733
4,-0.10668376944352871,-0.1735526231824423,-0.20938868477504222,-0.23908815673644687,-0.2655873926460448,-0.29015049333007736,-0.31346711870409455,-0.33595547024330685,-0.3578838043022104,-0.37943024465721936,-0.40071611402317875,-0.4218259546533157,-0.44282008675217177,-0.4637426782990697,-0.4846270020752772,-0.5054988915842695,-0.5263790310183862,-0.5472844857214583,-0.568229735413615,-0.5892273800576177,-0.6102886287204129,-0.631423643373465,-0.652641784766621,-0.6739517914548713,-0.6953619126307602,-0.7168800086097458,-0.7385136283456054,-0.7602700703941871,-0.7821564317688743,-0.8041796478004192,-0.8263465252082888,-0.8486637699679129,-0.8711380111252184,-0.8937758214051658,-0.9165837352440529,-0.9395682647188517,-0.9627359137323844,-0.9860931907280965,-1.0096466201441197,-1.0334027527669964,-1.0573681751067963,-1.0815495178843557,-1.1059534636958102,-1.1305867538980054,-1.1554561947393331,-1.1805686627435543,-1.205931109338064,-1.231550564702635,-1.2574341407993002,-1.2835890335282418,-1.3100225239381307,-1.3367419784017385,-1.3637548476486678,-1.391068664526134,-1.41869104033571,-1.4466296595681907,-1.4748922728299678,-1.5034866877218924,-1.5324207573950488,-1.5617023664665288,-1.5913394139315102,-1.6213397926548905,-1.6517113649655322,-1.6824619338079927,-1.713599208829233,-1.7451307666900548,-1.7770640047919288,-1.8094060874974942,-1.8421638837965473,-1.8753438952267225,-1.9089521726980385,-1.9429942206914992,-1.9774748871024779,-2.0123982367786253,-2.0477674065590366,-2.0835844393557004,-2.119850094531868,-2.156563631526116,-2.1937225633511845,-2.2313223762696848,-2.269356211625857,-2.307814505510119,-2.3466845816737822,-2.385950192926769,-2.425591006183959,-2.4655820264320654,-2.505892955242302,-2.5464874801473854,-2.587322492352332,-2.628347231999055,-2.6695023627270174,-2.7107189807612464,-2.751917568433481,-2.7930069081266975,-2.8338829803387298,-2.8744278790486315,-2.9145087888969523,-2.9539770817411304,-2.9926676045310936,-3.030398245398633,-3.0669698791027162
5,-0.12875953211943644,-0.19940496459639315,-0.23713107522655105,-0.2683139474130708,-0.29598225559878,-0.3214393737203419,-0.3454098851745364,-0.36834808755132825,-0.39055813640133297,-0.41225176194342245,-0.4335800880326677,-0.45465291227509086,-0.47555116816797594,-0.496335331158733,-0.5170512422302826,-0.5377342068281618,-0.558411906205186,-0.5791064763757442,-0.5998359982020062,-0.6206155690370102,-0.6414580763866533,-0.662374759063717,-0.6833756165358833,-0.7044697095759652,-0.7256653828317344,-0.746970431078447,-0.7683922246494227,-0.7899378051057064,-0.811613959067393,-0.8334272759045647,-0.8553841934050995,-0.87749103440975,-0.8997540365982292,-0.9221793770299234,-0.9447731926232871,-0.9675415974527667,-0.990490697518479,-1.013626603478876,-1.0369554417136793,-1.0604833639920281,-1.0842165559502923,-1.10816124452985,-1.1323237044822831,-1.1567102640153548,-1.181327309624815,-1.2061812901333413,-1.2312787199368902,-1.2566261814398216,-1.282230326642204,-1.30809787782532,-1.3342356272637734,-1.3606504358744709,-1.3873492306935153,-1.4143390010513652,-1.441626793294028,-1.4692197038732009,-1.4971248706005738,-1.5253494618306782,-1.5539006633020727,-1.5827856623276018,-1.6120116289808524,-1.6415856938763365,-1.6715149220852499,-1.701806282665828,-1.7324666132163835,-1.7635025787792615,-1.7949206243342215,-1.8267269200186753,-1.8589272980993765,-1.891527180593655,-1.9245314962976863,-1.9579445858231954,-1.9917700930718503,-2.0260108413878326,-2.060668692423811,-2.0957443855343842,-2.1312373552760415,-2.1671455243466937,-2.2034650690464233,-2.2401901540917337,-2.277312633379742,-2.3148217130920345,-2.3527035733721866,-2.390940944734535,-2.4295126354038077,-2.468393005993553,-2.507551388370266,-2.5469514462968905,-2.586550476600992,-2.62629865128395,-2.666138203312676,-2.7060025619650143,-2.7458154476953087,-2.7854899417086028,-2.824927551919555,-2.8640173048183164,-2.902634901969862,-2.9406419902930665,-2.9778856065431976,-3.014197867909674,-3.049395991324695
6,-0.15007128745694792,-0.22399801331202812,-0.2633930415056416,-0.29593337839000206,-0.3247300769875205,-0.35111174417663255,-0.3758197162341841,-0.3993254972913007,-0.4219520606110102,-0.44393086065707005,-0.4654326268035558,-0.48658575203805343,-0.5074881235592529,-0.5282151664722661,-0.5488255356571836,-0.569365256590645,-0.5898707931708221,-0.6103713463653471,-0.6308905878511678,-0.651447972244834,-0.6720597323353963,-0.6927396348849965,-0.7134995553142198,-0.734349915358249,-0.7553000170718572,-0.7763582984397068,-0.79753252967652,-0.8188299646170675,-0.8402574580492138,-0.8618215571654854,-0.8835285732917376,-0.9053846385349065,-0.9273957508525944,-0.9495678101914182,-0.9719066476977817,-0.9944180495204593,-1.017107776359066,-1.0399815796359366,-1.063045214959002,-1.086304453382849,-1.1097650908521364,-1.1334329561162348,-1.157313917329619,-1.181413887493802,-1.2057388288493645,-1.2302947562882445,-1.2550877398241185,-1.2801239061311345,-1.3054094391366922,-1.3309505796315593,-1.3567536238392872,-1.3828249208660848,-1.4091708689312359,-1.4357979102563592,-1.4627125244687411,-1.4899212203492014,-1.5174305257278597,-1.545246975301531,-1.5733770961134874,-1.6018273903997946,-1.6306043154654257,-1.6597142602077346,-1.689163517853615,-1.7189582544192337,-1.7491044723370979,-1.7796079686231647,-1.810474286876471,-1.841708662314115,-1.8733159589447286,-1.9053005978731437,-1.9376664756068052,-1.9704168711004306,-2.003554340128947,-2.03708059541967,-2.070996370804358,-2.1053012674703724,-2.139993580201129,-2.175070101301919,-2.210525899714405,-2.246354072638593,-2.282545466816377,-2.319088366499982,-2.3559681450518224,-2.3931668771249246,-2.4306629084885056,-2.4684303808333734,-2.506438709369248,-2.5446520117756233,-2.583028488166436,-2.6215197532680734,-2.660070124093541,-2.698615869136447,-2.7370844286249043,-2.7753936197792224,-2.813450846398671,-2.851152338509885,-2.888382455211249,-2.925013092103311,-2.9609032434938656,-2.9958987783839794,-3.0298324972830564
7,-0.17075323942475637,-0.24759681047535353,-0.2884916764415504,-0.32227804704210794,-0.3521447187080654,-0.3794410728631095,-0.4049179685655493,-0.4290551072239943,-0.4521847581235415,-0.4745490437180432,-0.4963303494140923,-0.5176691708034887,-0.5386754273796519,-0.5594360813066365,-0.5800205170580084,-0.600484481475559,-0.6208730494357938,-0.6412229002034625,-0.6615640880561435,-0.6819214312335123,-0.7023156069062765,-0.7227640166361585,-0.7432814712136905,-0.7638807327640812,-0.784572943894981,-0.8053679674547364,-0.8262746556117248,-0.8473010631098605,-0.8684546164770249,-0.8897422485024852,-0.9111705053357049,-0.9327456319967716,-0.9544736408499607,-0.9763603666131384,-0.9984115107041948,-1.0206326771190541,-1.0430294015593644,-1.0656071751539733,-1.0883714638248363,-1.1113277241171937,-1.134481416132296,-1.1578380140573459,-1.1814030146735084,-1.2051819441318954,-1.229180363214242,-1.2534038712355036,-1.277858108696452,-1.302548758753277,-1.3274815475358221,-1.3526622433152249,-1.378096654493723,-1.4037906263634492,-1.4297500365561222,-1.4559807890809302,-1.4824888068230375,-1.5092800223492884,-1.536360366840403,-1.5637357569396328,-1.5914120792761786,-1.619395172386791,-1.6476908057207496,-1.6763046553710896,-1.7052422761279946,-1.734509069398151,-1.7641102464761176,-1.7940507865893047,-1.8243353890672078,-1.8549684189065656,-1.885953844917177,-1.9172951695376441,-1.9489953493054828,-1.9810567048523042,-2.0134808191715954,-2.0462684227746872,-2.0794192642108196,-2.1129319642810453,-2.1468038521260815,-2.1810307812183694,-2.2156069231443403,-2.2505245369315157,-2.2857737115662626,-2.321342079275639,-2.3572144971278166,-2.39337269456232,-2.42979488462211,-2.4664553369597875,-2.503323911172682,-2.540365549738576,-2.577539730837434,-2.6147998827243484,-2.6520927631452627,-2.6893578096435147,-2.7265264695769904,-2.7635215223301066,-2.8002564106178656,-2.8366346029622256,-2.8725490153305735,-2.9078815264337057,-2.94250262802966,-2.9762712583553506,-3.0090348728999374
8,-0.19089695135621113,-0.27037440139294733,-0.3126356208364472,-0.3475728451114854,-0.3784491007391031,-0.40663316018662965,-0.4328826496035924,-0.4576813056953944,-0.48136565150362803,-0.504183096791604,-0.5263224012972398,-0.5479312988398465,-0.5691275036454142,-0.5900060190029103,-0.6106442399297511,-0.6311056648062945,-0.6514426862546417,-0.6716987454120719,-0.691910028432559,-0.7121068221925188,-0.7323146087143774,-0.7525549544960259,-0.7728462359873456,-0.7932042325535156,-0.8136426114444857,-0.8341733243841041,-0.8548069317083646,-0.8755528671087868,-0.8964196537297887,-0.9174150804797432,-0.9385463458515224,-0.9598201752475383,-0.9812429167218549,-1.0028206191531097,-1.0245590961179993,-1.0464639781217262,-1.0685407553379096,-1.0907948125978852,-1.1132314580324334,-1.1358559464943998,-1.1586734986671434,-1.1816893165817453,-1.2049085961177075,-1.2283365369407573,-1.2519783502321546,-1.2758392644821577,-1.2999245295523831,-1.3242394191549145,-1.3487892318475796,-1.373579290603152,-1.398614940973382,-1.423901547835768,-1.4494444906803832,-1.4752491573651993,-1.5013209362401885,-1.527665206512502,-1.5542873266964239,-1.58119262096208,-1.6083863631655966,-1.6358737583097442,-1.6636599211479155,-1.6917498516048732,-1.7201484066445205,-1.748860268167706,-1.777889906471096,-1.8072415387409801,-1.836919081993238,-1.866926099801778,-1.8972657420826218,-1.9279406771188077,-1.9589530149224441,-1.9903042209345685,-2.021995018961203,-2.0540252821357514,-2.0863939105849116,-2.119098694359339,-2.1521361600736864,-2.1855013995876376,-2.219187878954662,-2.253187225775511,-2.2874889930280653,-2.3220803974155735,-2.356946030296511,-2.3920675393505446,-2.4274232793195814,-2.4629879304699696,-2.4987320838860185,-2.5346217933686725,-2.570618094622873,-2.606676493629494,-2.642746427670106,-2.6787707044693723,-2.7146849273994125,-2.750416917706888,-2.785886148310503,-2.821003207879217,-2.8556693185948347,-2.8897759361167354,-2.9232044655944662,-2.9558261327958593,-2.9875020540702577
9,-0.21056779767484549,-0.2924503506806411,-0.33596934331379635,-0.3719762769540032,-0.40380505592740373,-0.4328433761510764,-0.45985469280712965,-0.4853249376436876,-0.5095922926537797,-0.5329063729375161,-0.5554590037140439,-0.5774018396024676,-0.5988572339179481,-0.6199253619346264,-0.6406891296367418,-0.6612177026717672,-0.681569135813197,-0.7017923919717568,-0.7219289313725689,-0.7420139875323193,-0.7620776076691076,-0.7821455107841271,-0.8022398010728555,-0.8223795641795386,-0.8425813670710007,-0.8628596777202853,-0.883227217573718,-0.9036952574335767,-0.9242738656148682,-0.9449721158370412,-0.9657982611725704,-0.9867598794222758,-1.0078639944780141,-1.0291171775391177,-1.0505256314511788,-1.0720952609212766,-1.0938317309218362,-1.1157405152172142,-1.137826936624897,-1.1600962003496234,-1.1825534214972857,-1.205203647680191,-1.2280518774608489,-1.2511030752430128,-1.2743621831022915,-1.2978341299504668,-1.3215238383445393,-1.345436229181001,-1.3695762244552625,-1.3939487482139148,-1.4185587257816885,-1.4434110813041872,-1.4685107336106857,-1.4938625903671396,-1.519471540457429,-1.5453424444998394,-1.5714801233750748,-1.5978893446113167,-1.6245748064401133,-1.6515411193039937,-1.678792784561665,-1.7063341700998442,-1.7341694825204825,-1.7623027355293253,-1.7907377141048835,-1.8194779339761014,-1.848526595881972,-1.877886534026509,-1.9075601580776655,-1.9375493879891756,-1.9678555808492488,-1.9984794488805095,-2.0294209676313106,-2.060679273310775,-2.0922525481296903,-2.1241378924185823,-2.156331182205159,-2.1888269108498277,-2.2216180132644516,-2.2546956711816843,-2.2880490979091945,-2.321665301003344,-2.3555288213445866,-2.389621447206845,-2.4239219021054494,-2.4584055055058736,-2.4930438059066966,-2.527804186407868,-2.562649443675637,-2.5975373422617465,-2.632420147569312,-2.667244142428001,-2.7019491342887987,-2.7364679625097095,-2.770726018098327,-2.8046407916018055,-2.838121468548736,-2.871068595858603,-2.9033738467833716,-2.934919915985521,-2.965580579942433
